id,bulletin_date,table_type,category,country,priority_date,is_current,is_unavailable,scraped_at
544.0,2026-07-01,Final_Action,5th High Unemployment,Mexico,CURRENT,1,0,2026-06-22 19:08:29
545.0,2026-07-01,Final_Action,5th High Unemployment,Philippines,CURRENT,1,0,2026-06-22 19:08:29
546.0,2026-07-01,Final_Action,5th Infrastructure,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:29
547.0,2026-07-01,Final_Action,5th Infrastructure,China,CURRENT,1,0,2026-06-22 19:08:29
548.0,2026-07-01,Final_Action,5th Infrastructure,India,CURRENT,1,0,2026-06-22 19:08:29
549.0,2026-07-01,Final_Action,5th Infrastructure,Mexico,CURRENT,1,0,2026-06-22 19:08:29
550.0,2026-07-01,Final_Action,5th Infrastructure,Philippines,CURRENT,1,0,2026-06-22 19:08:29
536.0,2026-07-01,Final_Action,5th Rural,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:29
537.0,2026-07-01,Final_Action,5th Rural,China,CURRENT,1,0,2026-06-22 19:08:29
538.0,2026-07-01,Final_Action,5th Rural,India,CURRENT,1,0,2026-06-22 19:08:29
539.0,2026-07-01,Final_Action,5th Rural,Mexico,CURRENT,1,0,2026-06-22 19:08:29
540.0,2026-07-01,Final_Action,5th Rural,Philippines,CURRENT,1,0,2026-06-22 19:08:29
531.0,2026-07-01,Final_Action,5th Unreserved,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:29
532.0,2026-07-01,Final_Action,5th Unreserved,China,2016-12-01,0,0,2026-06-22 19:08:29
533.0,2026-07-01,Final_Action,5th Unreserved,India,UNAVAILABLE,0,1,2026-06-22 19:08:29
534.0,2026-07-01,Final_Action,5th Unreserved,Mexico,CURRENT,1,0,2026-06-22 19:08:29
535.0,2026-07-01,Final_Action,5th Unreserved,Philippines,CURRENT,1,0,2026-06-22 19:08:29
526.0,2026-07-01,Final_Action,Certain Religious Workers,All_Chargeability_Areas,2022-09-15,0,0,2026-06-22 19:08:29
527.0,2026-07-01,Final_Action,Certain Religious Workers,China,2022-09-15,0,0,2026-06-22 19:08:29
528.0,2026-07-01,Final_Action,Certain Religious Workers,India,2022-09-15,0,0,2026-06-22 19:08:29
529.0,2026-07-01,Final_Action,Certain Religious Workers,Mexico,2022-09-15,0,0,2026-06-22 19:08:29
530.0,2026-07-01,Final_Action,Certain Religious Workers,Philippines,2022-09-15,0,0,2026-06-22 19:08:29
516.0,2026-07-01,Final_Action,Other Workers,All_Chargeability_Areas,2022-03-01,0,0,2026-06-22 19:08:29
517.0,2026-07-01,Final_Action,Other Workers,China,2019-04-01,0,0,2026-06-22 19:08:29
518.0,2026-07-01,Final_Action,Other Workers,India,2014-01-01,0,0,2026-06-22 19:08:29
519.0,2026-07-01,Final_Action,Other Workers,Mexico,2022-03-01,0,0,2026-06-22 19:08:29
520.0,2026-07-01,Final_Action,Other Workers,Philippines,2021-12-01,0,0,2026-06-22 19:08:29
451.0,2026-06-01,Dates_for_Filing,1st,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
452.0,2026-06-01,Dates_for_Filing,1st,China,2023-12-01,0,0,2026-06-22 19:08:28
453.0,2026-06-01,Dates_for_Filing,1st,India,2023-12-01,0,0,2026-06-22 19:08:28
454.0,2026-06-01,Dates_for_Filing,1st,Mexico,CURRENT,1,0,2026-06-22 19:08:28
455.0,2026-06-01,Dates_for_Filing,1st,Philippines,CURRENT,1,0,2026-06-22 19:08:28
456.0,2026-06-01,Dates_for_Filing,2nd,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
457.0,2026-06-01,Dates_for_Filing,2nd,China,2022-01-01,0,0,2026-06-22 19:08:28
458.0,2026-06-01,Dates_for_Filing,2nd,India,2015-01-15,0,0,2026-06-22 19:08:28
459.0,2026-06-01,Dates_for_Filing,2nd,Mexico,CURRENT,1,0,2026-06-22 19:08:28
460.0,2026-06-01,Dates_for_Filing,2nd,Philippines,CURRENT,1,0,2026-06-22 19:08:28
461.0,2026-06-01,Dates_for_Filing,3rd,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
462.0,2026-06-01,Dates_for_Filing,3rd,China,2022-01-01,0,0,2026-06-22 19:08:28
463.0,2026-06-01,Dates_for_Filing,3rd,India,2015-01-15,0,0,2026-06-22 19:08:28
464.0,2026-06-01,Dates_for_Filing,3rd,Mexico,CURRENT,1,0,2026-06-22 19:08:28
