bulletin_date,1st,2nd,3rd,4th,5th High Unemployment,5th Infrastructure,5th Non-Regional Center (C5 and T5),5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),5th Regional Center (I5 and R5),5th Rural,5th Unreserved,5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),Certain Religious Workers,Other Workers
2022-05-01,CURRENT,2019-04-01,2018-04-01,CURRENT,CURRENT,CURRENT,,,,,CURRENT,2015-12-15,,,CURRENT,2015-08-01
2022-06-01,CURRENT,2019-04-01,2018-04-01,CURRENT,CURRENT,CURRENT,,,,,CURRENT,2015-12-22,,,CURRENT,2015-08-01
2022-07-01,CURRENT,2019-05-01,2018-04-01,CURRENT,CURRENT,CURRENT,,,,,CURRENT,2015-12-22,,,CURRENT,2015-08-01
2022-08-01,CURRENT,2019-05-01,2018-05-22,CURRENT,CURRENT,CURRENT,,,,,CURRENT,2015-12-22,,,CURRENT,2015-08-01
2022-09-01,CURRENT,2019-05-01,2018-05-22,CURRENT,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,CURRENT,2015-08-01
2022-10-01,CURRENT,2019-07-08,2018-07-15,CURRENT,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,CURRENT,2015-11-01
2022-11-01,CURRENT,2019-07-08,2018-07-15,CURRENT,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,CURRENT,2015-11-01
2022-12-01,CURRENT,2019-07-08,2018-09-01,2022-07-22,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,2022-07-22,2015-11-01
2023-01-01,2022-06-01,2019-07-08,2018-09-01,2022-07-22,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,2022-07-22,2015-11-01
2023-02-01,2022-06-01,2019-07-08,2018-09-01,2022-07-22,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,2022-07-22,2015-11-01
2023-03-01,2022-06-01,2019-07-08,2018-09-01,2022-03-01,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,2022-03-01,2015-11-01
2023-04-01,2022-06-01,2019-07-08,2019-02-01,2018-10-01,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,2018-10-01,2015-11-01
2023-05-01,2022-06-01,2019-07-08,2019-06-01,2018-10-01,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,2018-10-01,2015-11-01
2023-06-01,2022-06-01,2019-07-08,2019-06-01,2018-10-01,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,2018-10-01,2016-01-01
2023-07-01,2022-06-01,2019-07-08,2019-06-01,2018-10-01,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,2018-10-01,2016-01-01
2023-08-01,2022-06-01,2019-10-08,2019-09-01,2018-10-01,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,2018-10-01,2016-01-01
2023-09-01,2022-06-01,2019-10-08,2019-11-01,2018-10-01,CURRENT,CURRENT,,,,,CURRENT,2016-01-01,,,2018-10-01,2016-01-01
2023-10-01,2022-02-15,2019-10-01,2020-01-01,2019-01-01,CURRENT,CURRENT,,,,,CURRENT,2015-10-01,,,UNAVAILABLE,2016-01-01
2023-11-01,2022-02-15,2019-10-01,2020-01-01,2019-01-01,CURRENT,CURRENT,,,,,CURRENT,2015-10-01,,,2019-01-01,2016-01-01
2023-12-01,2022-02-15,2019-10-22,2020-01-22,2019-01-01,CURRENT,CURRENT,,,,,CURRENT,2015-10-01,,,UNAVAILABLE,2016-01-01
2024-01-01,2022-07-01,2020-01-01,2020-09-01,2019-05-15,CURRENT,CURRENT,,,,,CURRENT,2015-12-08,,,2019-05-15,2017-01-01
2024-02-01,2022-07-01,2020-01-01,2020-09-01,2019-05-15,CURRENT,CURRENT,,,,,CURRENT,2015-12-15,,,2019-05-15,2017-01-01
